Mouse_ID,Date,Session,experiment,Include_Dataset
WA020,20260322,Pre_Day0,ctrl,1
WA020,20260329,Post_Day7,exp,1
WA020,20260330,Post_Day8,exp,1
WA020,20260401,Post_Day10,exp,1
WA021,20260322,Pre_Day0,ctrl,1
WA021,20260329,Post_Day7,exp,1
WA021,20260329,Post_Day7_2.0,exp,1
WA021,20260330,Post_Day8,exp,1
WA021,20260401,Post_Day10_2.0,exp,1
WA022,20260328,Pre_Day0,ctrl,0
WA022,20260413,Post_Day7,exp,0
WA022,20260414,Post_Day8,exp,0
WA022,20260416,Post_Day10,exp,0
WA023,20260328,Pre_Day0,ctrl,1
WA023,20260413,Post_Day7,exp,1
WA023,20260414,Post_Day8,exp,1
WA023,20260416,Post_Day10,exp,1
WA024,20260328,Pre_Day0,ctrl,1
WA024,20260328,Pre_Day0_2.0,ctrl,1
WA024,20260410,Post_Day7,exp,1
WA024,20260411,Post_Day8,exp,1
WA024,20260413,Post_Day10,exp,1
