subject,date,session,stem,h5,mp4,n_samples,cam_ttl_events,pulse_pal_intervals,video_frames,frames_minus_cam,folder
WA020,20260322,Pre_Day0,WA020_R_MRN_TelC_01_pre_TelC,WA020_R_MRN_TelC_01_pre_TelC_2026-03-22_0001.h5,WA020_R_MRN_TelC_01_pre_TelC1_noB_rot180.mp4,138367488,274186,58,274184,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA020\20260322\Pre_Day0
WA020,20260329,Post_Day7,WA020_R_MRN_TelC_02_TelC_Day7,WA020_R_MRN_TelC_02_TelC_Day7_2026-03-28_0001.h5,WA020_R_MRN_TelC_02_TelC_Day70_noB_rot180.mp4,130219008,257804,48,257802,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA020\20260329\Post_Day7
WA020,20260330,Post_Day8,WA020_R_MRN_TelC_03_TelC_Day8,WA020_R_MRN_TelC_03_TelC_Day8_2026-03-30_0001.h5,WA020_R_MRN_TelC_03_TelC_Day80_noB_rot180.mp4,128907776,255277,52,255258,-19,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA020\20260330\Post_Day8
WA020,20260401,Post_Day10,WA020_R_MRN_TelC_04_TelC_Day10,WA020_R_MRN_TelC_04_TelC_Day10_2026-04-01_0001.h5,WA020_R_MRN_TelC_04_TelC_Day101_noB_rot180.mp4,149467648,295731,64,285122,-10609,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA020\20260401\Post_Day10
WA021,20260322,Pre_Day0,WA021_L_MRN_TelC_01_pre_TelC,WA021_L_MRN_TelC_01_pre_TelC_2026-03-22_0001.h5,WA021_L_MRN_TelC_01_pre_TelC0_noB_rot180.mp4,148738560,294946,59,294944,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA021\20260322\Pre_Day0
WA021,20260329,Post_Day7,WA021_L_MRN_TelC_02_TelC_Day7,WA021_L_MRN_TelC_02_TelC_Day7_2026-03-28_0001.h5,WA021_L_MRN_TelC_02_TelC_Day70_noB_rot180.mp4,113541632,224056,29,224054,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA021\20260329\Post_Day7
WA021,20260329,Post_Day7_2.0,WA021_L_MRN_TelC_02_TelC_Day7_2.0,WA021_L_MRN_TelC_02_TelC_Day7_2.0_2026-03-28_0001.h5,WA021_L_MRN_TelC_02_TelC_Day7_2_noB_rot180.mp4,124968448,247842,53,247837,-5,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA021\20260329\Post_Day7_2.0
WA021,20260330,Post_Day8,WA021_L_MRN_TelC_03_TelC_Day8,WA021_L_MRN_TelC_03_TelC_Day8_2026-03-30_0001.h5,WA021_L_MRN_TelC_03_TelC_Day80_noB_rot180.mp4,128181248,253631,63,253628,-3,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA021\20260330\Post_Day8
WA021,20260401,Post_Day10_2.0,WA021_L_MRN_TelC_04_TelC_Day10_notail_2.0,WA021_L_MRN_TelC_04_TelC_Day10_notail_2.0_2026-04-01_0001.h5,WA021_L_MRN_TelC_04_TelC_Day10_notail_2_noB_rot180.mp4,143992832,285469,65,283580,-1889,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA021\20260401\Post_Day10_2.0
WA022,20260328,Pre_Day0,WA022_L_MRN_TelC_01_pre_TelC,WA022_L_MRN_TelC_01_pre_TelC_2026-03-28_0001.h5,WA022_L_MRN_TelC_01_pre_TelC0_noB_rot180.mp4,142607872,280838,57,280836,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA022\20260328\Pre_Day0
WA022,20260413,Post_Day7,WA022_L_MRN_TelC_02_TelC_Day7,WA022_L_MRN_TelC_02_TelC_Day7_2026-04-13_0001.h5,WA022_L_MRN_TelC_02_TelC_Day70_noB_rot180.mp4,123520000,244734,51,244732,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA022\20260413\Post_Day7
WA022,20260414,Post_Day8,WA022_L_MRN_TelC_03_TelC_Day8,WA022_L_MRN_TelC_03_TelC_Day8_2026-04-13_0001.h5,WA022_L_MRN_TelC_03_TelC_Day80_noB_rot180.mp4,157780480,312698,64,312696,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA022\20260414\Post_Day8
WA022,20260416,Post_Day10,WA022_L_MRN_TelC_F_04_TelC_Day10,WA022_L_MRN_TelC_F_04_TelC_Day10_2026-04-13_0001.h5,WA022_L_MRN_TelC_04_TelC_Day100_noB_rot180.mp4,113656320,225432,69,225430,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA022\20260416\Post_Day10
WA023,20260328,Pre_Day0,WA023_R_MRN_TelC_01_pre_TelC,WA023_R_MRN_TelC_01_pre_TelC_2026-03-28_0001.h5,WA023_R_MRN_TelC_01_pre_TelC0_noB_rot180.mp4,115617792,228744,48,228742,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA023\20260328\Pre_Day0
WA023,20260413,Post_Day7,WA023_R_MRN_TelC_02_TelC_Day7,WA023_R_MRN_TelC_02_TelC_Day7_2026-04-13_0001.h5,WA023_R_MRN_TelC_02_TelC_Day70_noB_rot180.mp4,122716672,242751,52,242749,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA023\20260413\Post_Day7
WA023,20260414,Post_Day8,WA023_R_MRN_TelC_03_TelC_Day8,WA023_R_MRN_TelC_03_TelC_Day8_2026-04-13_0001.h5,WA023_R_MRN_TelC_03_TelC_Day80_noB_rot180.mp4,130129920,256866,57,256864,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA023\20260414\Post_Day8
WA023,20260416,Post_Day10,WA023_R_MRN_TelC_F_04_TelC_Day10,WA023_R_MRN_TelC_F_04_TelC_Day10_2026-04-13_0001.h5,WA023_R_MRN_TelC_04_TelC_Day100_noB_rot180.mp4,112182784,221721,69,221718,-3,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA023\20260416\Post_Day10
WA024,20260328,Pre_Day0,WA024_L_R_MRN_TelC_01_pre_TelC,WA024_L_R_MRN_TelC_01_pre_TelC_2026-03-28_0001.h5,WA024_L_R_MRN_TelC_01_pre_TelC0_noB_rot180.mp4,117604864,232374,51,232372,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA024\20260328\Pre_Day0
WA024,20260328,Pre_Day0_2.0_left_pokes,WA024_L_R_MRN_TelC_01_pre_TelC_left_contacts,WA024_L_R_MRN_TelC_01_pre_TelC_left_contacts_2026-03-28_0001.h5,WA024_L_R_MRN_TelC_01_pre_TelC_left_contacts0_noB_rot180.mp4,47658496,92449,37,92447,-2,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA024\20260328\Pre_Day0_2.0_left_pokes
WA024,20260410,Post_Day7,WA024_L_R_MRN_TelC_02_TelC_Day7,WA024_L_R_MRN_TelC_02_TelC_Day7_2026-04-10_0001.h5,WA024_L_R_MRN_TelC_02_TelC_Day70_noB_rot180.mp4,154525696,305143,82,296485,-8658,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA024\20260410\Post_Day7
WA024,20260411,Post_Day8,WA024_L_R_MRN_TelC_03_TelC_Day8,WA024_L_R_MRN_TelC_03_TelC_Day8_2026-04-10_0001.h5,WA024_L_R_MRN_TelC_03_TelC_Day80_noB_rot180.mp4,179894272,357359,64,355919,-1440,E:\bilat_asymmetry_analysis\raw\TeLC_Silencing\WA024\20260411\Post_Day8
